Name                                                             | Id                             | Web Services | Styles                                                                                                
1000//HRDPS.CONTINENTAL.PRES - Specific humidity at 1000.0 mb    | HRDPS.CONTINENTAL.PRES_HU.1000 | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
985//HRDPS.CONTINENTAL.PRES - Specific humidity at 985.0 mb      | HRDPS.CONTINENTAL.PRES_HU.985  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
970//HRDPS.CONTINENTAL.PRES - Specific humidity at 970.0 mb      | HRDPS.CONTINENTAL.PRES_HU.970  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
950//HRDPS.CONTINENTAL.PRES - Specific humidity at 950.0 mb      | HRDPS.CONTINENTAL.PRES_HU.950  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
925//HRDPS.CONTINENTAL.PRES - Specific humidity at 925.0 mb      | HRDPS.CONTINENTAL.PRES_HU.925  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
900//HRDPS.CONTINENTAL.PRES - Specific humidity at 900.0 mb      | HRDPS.CONTINENTAL.PRES_HU.900  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
875//HRDPS.CONTINENTAL.PRES - Specific humidity at 875.0 mb      | HRDPS.CONTINENTAL.PRES_HU.875  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
850//HRDPS.CONTINENTAL.PRES - Specific humidity at 850.0 mb      | HRDPS.CONTINENTAL.PRES_HU.850  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
800//HRDPS.CONTINENTAL.PRES - Specific humidity at 800.0 mb      | HRDPS.CONTINENTAL.PRES_HU.800  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
750//HRDPS.CONTINENTAL.PRES - Specific humidity at 750.0 mb      | HRDPS.CONTINENTAL.PRES_HU.750  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
700//HRDPS.CONTINENTAL.PRES - Specific humidity at 700.0 mb      | HRDPS.CONTINENTAL.PRES_HU.700  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
650//HRDPS.CONTINENTAL.PRES - Specific humidity at 650.0 mb      | HRDPS.CONTINENTAL.PRES_HU.650  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
600//HRDPS.CONTINENTAL.PRES - Specific humidity at 600.0 mb      | HRDPS.CONTINENTAL.PRES_HU.600  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
550//HRDPS.CONTINENTAL.PRES - Specific humidity at 550.0 mb      | HRDPS.CONTINENTAL.PRES_HU.550  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
500//HRDPS.CONTINENTAL.PRES - Specific humidity at 500.0 mb      | HRDPS.CONTINENTAL.PRES_HU.500  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
450//HRDPS.CONTINENTAL.PRES - Specific humidity at 450.0 mb      | HRDPS.CONTINENTAL.PRES_HU.450  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
400//HRDPS.CONTINENTAL.PRES - Specific humidity at 400.0 mb      | HRDPS.CONTINENTAL.PRES_HU.400  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
350//HRDPS.CONTINENTAL.PRES - Specific humidity at 350.0 mb      | HRDPS.CONTINENTAL.PRES_HU.350  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
300//HRDPS.CONTINENTAL.PRES - Specific humidity at 300.0 mb      | HRDPS.CONTINENTAL.PRES_HU.300  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
275//HRDPS.CONTINENTAL.PRES - Specific humidity at 275.0 mb      | HRDPS.CONTINENTAL.PRES_HU.275  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
250//HRDPS.CONTINENTAL.PRES - Specific humidity at 250.0 mb      | HRDPS.CONTINENTAL.PRES_HU.250  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
225//HRDPS.CONTINENTAL.PRES - Specific humidity at 225.0 mb      | HRDPS.CONTINENTAL.PRES_HU.225  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
200//HRDPS.CONTINENTAL.PRES - Specific humidity at 200.0 mb      | HRDPS.CONTINENTAL.PRES_HU.200  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
175//HRDPS.CONTINENTAL.PRES - Specific humidity at 175.0 mb      | HRDPS.CONTINENTAL.PRES_HU.175  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
150//HRDPS.CONTINENTAL.PRES - Specific humidity at 150.0 mb      | HRDPS.CONTINENTAL.PRES_HU.150  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
100//HRDPS.CONTINENTAL.PRES - Specific humidity at 100.0 mb      | HRDPS.CONTINENTAL.PRES_HU.100  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
50//HRDPS.CONTINENTAL.PRES - Specific humidity at 50.0 mb        | HRDPS.CONTINENTAL.PRES_HU.50   | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
1015//HRDPS.CONTINENTAL.PRES - Air temperature at 1015.0 mb      | HRDPS.CONTINENTAL.PRES_TT.1015 | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
1000//HRDPS.CONTINENTAL.PRES - Air temperature at 1000.0 mb      | HRDPS.CONTINENTAL.PRES_TT.1000 | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
985//HRDPS.CONTINENTAL.PRES - Air temperature at 985.0 mb        | HRDPS.CONTINENTAL.PRES_TT.985  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
970//HRDPS.CONTINENTAL.PRES - Air temperature at 970.0 mb        | HRDPS.CONTINENTAL.PRES_TT.970  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
950//HRDPS.CONTINENTAL.PRES - Air temperature at 950.0 mb        | HRDPS.CONTINENTAL.PRES_TT.950  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
925//HRDPS.CONTINENTAL.PRES - Air temperature at 925.0 mb        | HRDPS.CONTINENTAL.PRES_TT.925  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
900//HRDPS.CONTINENTAL.PRES - Air temperature at 900.0 mb        | HRDPS.CONTINENTAL.PRES_TT.900  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
875//HRDPS.CONTINENTAL.PRES - Air temperature at 875.0 mb        | HRDPS.CONTINENTAL.PRES_TT.875  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
850//HRDPS.CONTINENTAL.PRES - Air temperature at 850.0 mb        | HRDPS.CONTINENTAL.PRES_TT.850  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
800//HRDPS.CONTINENTAL.PRES - Air temperature at 800.0 mb        | HRDPS.CONTINENTAL.PRES_TT.800  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
750//HRDPS.CONTINENTAL.PRES - Air temperature at 750.0 mb        | HRDPS.CONTINENTAL.PRES_TT.750  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
700//HRDPS.CONTINENTAL.PRES - Air temperature at 700.0 mb        | HRDPS.CONTINENTAL.PRES_TT.700  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
650//HRDPS.CONTINENTAL.PRES - Air temperature at 650.0 mb        | HRDPS.CONTINENTAL.PRES_TT.650  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
600//HRDPS.CONTINENTAL.PRES - Air temperature at 600.0 mb        | HRDPS.CONTINENTAL.PRES_TT.600  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
550//HRDPS.CONTINENTAL.PRES - Air temperature at 550.0 mb        | HRDPS.CONTINENTAL.PRES_TT.550  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
500//HRDPS.CONTINENTAL.PRES - Air temperature at 500.0 mb        | HRDPS.CONTINENTAL.PRES_TT.500  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
450//HRDPS.CONTINENTAL.PRES - Air temperature at 450.0 mb        | HRDPS.CONTINENTAL.PRES_TT.450  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
400//HRDPS.CONTINENTAL.PRES - Air temperature at 400.0 mb        | HRDPS.CONTINENTAL.PRES_TT.400  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
