Nom                                                                          | Id                             | Services web | Styles                                                                                                
600//HRDPS.CONTINENTAL.PRES - Humidité relative à 600.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.600  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
550//HRDPS.CONTINENTAL.PRES - Humidité relative à 550.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.550  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
500//HRDPS.CONTINENTAL.PRES - Humidité relative à 500.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.500  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
450//HRDPS.CONTINENTAL.PRES - Humidité relative à 450.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.450  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
400//HRDPS.CONTINENTAL.PRES - Humidité relative à 400.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.400  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
350//HRDPS.CONTINENTAL.PRES - Humidité relative à 350.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.350  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
300//HRDPS.CONTINENTAL.PRES - Humidité relative à 300.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.300  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
275//HRDPS.CONTINENTAL.PRES - Humidité relative à 275.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.275  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
250//HRDPS.CONTINENTAL.PRES - Humidité relative à 250.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.250  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
225//HRDPS.CONTINENTAL.PRES - Humidité relative à 225.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.225  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
200//HRDPS.CONTINENTAL.PRES - Humidité relative à 200.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.200  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
175//HRDPS.CONTINENTAL.PRES - Humidité relative à 175.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.175  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
150//HRDPS.CONTINENTAL.PRES - Humidité relative à 150.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.150  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
